,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata
58,348.75072912869365,66.17844429987785,414.9291734285715,17.507568440315122,118.34257673617655,2140.799843822586,2004.9496986460938,190.0,34.935100000000006,2308.7422706646407,3.56951,320.0326932420274,218.62361841560505,,,,0.0330313541661559,415.22861714285716,1900.0,1.0,8.03939091562473,3.56951,CD113A-SiteC,O,10.1016/j.epsl.2007.03.025,57.91,12.52,6-10,Yu2007,C. wuellerstorfi
59,349.8316133372862,64.85051551985661,414.68212885714286,18.987738979024044,108.0388250736108,2197.0500879665833,2070.0235239139483,354.7,34.9143,2351.7268792359914,2.51206,333.70696388140516,204.97852528422774,,,,0.031351004333770686,414.98139428571426,3547.0,1.0,7.954463623620302,2.51206,BOFS 5K,R,10.1016/j.epsl.2007.03.025,50.7,21.9,2-3,Yu2007,C. wuellerstorfi
60,349.8741516446232,64.7604686410911,414.6346202857143,19.168188748818164,105.0868803370117,2193.113870516781,2068.8588014309507,404.5,34.9103,2344.550144443637,2.52469,337.02943719152614,196.44155078412675,,,,0.031325097953096896,414.9338514285714,4045.0,1.0,7.92724724583305,2.52469,BOFS 8K,R,10.1016/j.epsl.2007.03.025,52.5,22.1,4-5,Yu2007,C. wuellerstorfi
61,347.9770431685905,66.84286054569525,414.8199037142857,17.306056806746405,118.83088420996252,2139.5583803994523,2003.4214393827433,200.4,34.9259,2308.8515944559276,3.42071,314.6049413097601,223.78896484579099,222.11093697357,225.466992718012,,0.03338843141253994,415.11926857142856,2004.0,2.0,8.04105171942397,3.42071,BOFS 11K,R,10.1016/j.epsl.2007.03.025,55.2,20.4,2-3,Yu2007,C. wuellerstorfi
62,347.9770431685905,66.84286054569525,414.8199037142857,17.306056806746405,118.83088420996252,2139.5583803994523,2003.4214393827433,200.4,34.9259,2308.8515944559276,3.42071,314.6049413097601,224.23501588314818,,,,0.03338843141253994,415.11926857142856,2004.0,1.0,8.04105171942397,3.42071,BOFS 11K,O,10.1016/j.epsl.2007.03.025,55.2,20.4,2-3,Yu2007,C. wuellerstorfi
63,351.9265355963171,62.678391832254334,414.60492742857144,19.916957648418606,104.90505028789529,2212.7586793953824,2087.9366714590683,350.0,34.9078,2361.168708985431,2.47978,349.601974086161,207.55783142727878,204.3227014424501,210.79296141210747,,0.030040961525902805,414.90413714285717,3500.0,2.0,7.939998936359079,2.47978,BOFS 30K,R,10.1016/j.epsl.2007.03.025,19.75,20.73,5-6,Yu2007,C. wuellerstorfi
64,352.644939167586,62.28423426098551,414.9291734285715,19.827343270826166,106.13877322971885,2201.3189952329594,2075.3528787324144,306.9,34.935100000000006,2350.6827534951485,2.74688,351.5735126700388,223.05197580405286,222.40776136568493,223.69619024242076,,0.030033053091790777,415.22861714285716,3069.0,2.0,7.955964359082402,2.74688,M12310-3,R,10.1016/j.epsl.2007.03.025,23.3,18.43,0-1,Yu2007,C. wuellerstorfi
65,354.5203689199712,59.542960794314574,414.06332971428577,20.660170591322068,102.47199342325781,2195.290713869511,2072.1585498549302,267.0,34.8622,2337.3695725089065,2.43077,361.88473041792747,213.03572025362166,212.13506060619596,213.93637990104736,,0.028755488532527983,414.3621485714286,2670.0,2.0,7.959750907863621,2.43077,PC174BX,R,10.1016/j.epsl.2007.03.025,-27.0155,3.8595,0-1,Yu2007,C. wuellerstorfi
66,363.75794258776864,49.20318826937425,412.96113085714285,25.852198934875787,86.81671147520869,2221.913063867172,2109.244153457087,208.2,34.7694,2332.684538194853,2.63249,456.00427467923095,220.0956677095347,,,,0.0233442377281704,413.25915428571426,2082.0,1.0,7.895337130222214,2.63249,ODP1088,R,10.1016/j.epsl.2007.03.025,-41.08,-13.34,2-9,Yu2007,C. wuellerstorfi
67,354.07384696600195,61.35654189114093,415.4303888571429,19.41905998604746,112.34130693338417,2169.805983634177,2038.0456167147454,160.4,34.9773,2324.9801841086232,4.12187,362.30900169894267,239.3381192461945,,,,0.030127304720772463,415.7301942857143,1604.0,1.0,8.008562522682865,4.12187,M35014-1,O,10.1016/j.epsl.2007.03.025,17.842,63.737,0-1,Yu2007,C. wuellerstorfi
68,353.5248840513715,62.01121137719998,415.5360954285715,19.31564125616561,111.21415052326884,2169.321569025813,2038.791777246379,200.4,34.986200000000004,2324.114260323513,4.00389,358.8522324700617,225.8848721776892,,,,0.03043761700746375,415.83597714285713,2004.0,1.0,7.993926434639922,4.00389,M35020-1,O,10.1016/j.epsl.2007.03.025,17.93,65.67,0-1,Yu2007,C. wuellerstorfi
69,352.4279213420092,62.68534780084802,415.1132691428572,19.44667167268253,107.59925516017601,2180.910657565982,2053.864730733123,288.5,34.9506,2332.5676068363196,3.36001,352.7807016171129,222.3669177273958,,,,0.030542705790546007,415.41284571428577,2885.0,1.0,7.961235831962368,3.36001,M35004-1,O,10.1016/j.epsl.2007.03.025,14.41,61.662,0-1,Yu2007,C. wuellerstorfi
70,352.4279213420092,62.68534780084802,415.1132691428572,19.44667167268253,107.59925516017601,2180.910657565982,2053.864730733123,288.5,34.9506,2332.5676068363196,3.36001,352.7807016171129,232.14052700201412,,,,0.030542705790546007,415.41284571428577,2885.0,1.0,7.961235831962368,3.36001,M35004-1,O,10.1016/j.epsl.2007.03.025,14.41,61.662,0-1,Yu2007,C. wuellerstorfi
71,352.4279213420092,62.68534780084802,415.1132691428572,19.44667167268253,107.59925516017601,2180.910657565982,2053.864730733123,288.5,34.9506,2332.5676068363196,3.36001,352.7807016171129,216.91255609502937,,,,0.030542705790546007,415.41284571428577,2885.0,1.0,7.961235831962368,3.36001,M35004-1,O,10.1016/j.epsl.2007.03.025,14.41,61.662,0-1,Yu2007,C. wuellerstorfi
72,352.4279213420092,62.68534780084802,415.1132691428572,19.44667167268253,107.59925516017601,2180.910657565982,2053.864730733123,288.5,34.9506,2332.5676068363196,3.36001,352.7807016171129,228.17385195078916,,,,0.030542705790546007,415.41284571428577,2885.0,1.0,7.961235831962368,3.36001,M35004-1,"O, RB",10.1016/j.epsl.2007.03.025,14.41,61.662,0-1,Yu2007,C. wuellerstorfi
73,353.6510617844132,61.0500705013012,414.7011322857143,20.441239258346677,99.14523570386233,2184.9619555700147,2065.3754806078055,381.5,34.9159,2325.434258175102,2.632,360.8686604811938,207.9767030939355,,,,0.029580155928480442,415.00041142857145,3815.0,1.0,7.907845019862985,2.632,M35026-2,O,10.1016/j.epsl.2007.03.025,17.508,67.043,0-1,Yu2007,C. wuellerstorfi
74,349.5269063125928,65.93198768740722,415.458894,19.04187844465827,105.88478264376499,2189.8272590240667,2064.9005979356434,471.0,34.9797,2343.4683363483477,4.35141,358.25257297785566,177.48330402983652,,,,0.03195290328909721,415.75872000000004,4710.0,1.0,7.87920277396347,4.35141,M35024-6,O,10.1016/j.epsl.2007.03.025,17.043,66.002,0-1,Yu2007,C. wuellerstorfi
75,349.5269063125928,65.93198768740722,415.458894,19.04187844465827,105.88478264376499,2189.8272590240667,2064.9005979356434,471.0,34.9797,2343.4683363483477,4.35141,358.25257297785566,172.54498289956402,,,,0.03195290328909721,415.75872000000004,4710.0,1.0,7.87920277396347,4.35141,M35024-6,O,10.1016/j.epsl.2007.03.025,17.043,66.002,0-1,Yu2007,C. wuellerstorfi
76,349.5794304071718,64.34256130711393,413.9219917142857,19.43906245064229,102.90467691853574,2201.8310132354445,2079.4872738662666,429.1,34.8503,2350.3495649220295,1.95114,334.3878482281736,185.61561275677713,,,,0.030963880610475284,414.22070857142853,4291.0,1.0,7.918812691123295,1.95114,GeoB4413-1,O,10.1016/j.epsl.2007.03.025,6.087,44.193,0-1,Yu2007,C. wuellerstorfi
77,349.5794304071718,64.34256130711393,413.9219917142857,19.43906245064229,102.90467691853574,2201.8310132354445,2079.4872738662666,429.1,34.8503,2350.3495649220295,1.95114,334.3878482281736,185.67633395678865,,,,0.030963880610475284,414.22070857142853,4291.0,1.0,7.918812691123295,1.95114,GeoB4413-1,O,10.1016/j.epsl.2007.03.025,6.087,44.193,0-1,Yu2007,C. wuellerstorfi
78,349.5794304071718,64.34256130711393,413.9219917142857,19.43906245064229,102.90467691853574,2201.8310132354445,2079.4872738662666,429.1,34.8503,2350.3495649220295,1.95114,334.3878482281736,193.08941788078988,,,,0.030963880610475284,414.22070857142853,4291.0,1.0,7.918812691123295,1.95114,GeoB4413-1,O,10.1016/j.epsl.2007.03.025,6.087,44.193,0-1,Yu2007,C. wuellerstorfi
79,353.0800501212865,62.01302787871353,415.093078,19.39982514372015,108.8220954832523,2172.456319880934,2044.2343992539622,229.8,34.9489,2324.7074500793337,3.14431,349.13455461945586,219.86898189992195,,,,0.03035746835532924,415.39264000000003,2298.0,1.0,7.9897638284940555,3.14431,GeoB1503-2,O,10.1016/j.epsl.2007.03.025,2.31,30.648,0-1,Yu2007,C. wuellerstorfi
80,350.06869456007996,64.7072637256343,414.7759582857143,18.689661017204415,110.20230417528828,2179.585006639647,2050.6930414471544,298.0,34.9222,2336.6101423170044,2.70222,330.8240230404025,227.99770747820426,,,,0.03157662311477823,415.0752914285714,2980.0,1.0,7.981088936521063,2.70222,GeoB1504-1,R,10.1016/j.epsl.2007.03.025,2.288,31.287,0-1,Yu2007,C. wuellerstorfi
81,350.06869456007996,64.7072637256343,414.7759582857143,18.689661017204415,110.20230417528828,2179.585006639647,2050.6930414471544,298.0,34.9222,2336.6101423170044,2.70222,330.8240230404025,227.83218768155658,,,,0.03157662311477823,415.0752914285714,2980.0,1.0,7.981088936521063,2.70222,GeoB1504-1,O,10.1016/j.epsl.2007.03.025,2.288,31.287,0-1,Yu2007,C. wuellerstorfi
82,350.06869456007996,64.7072637256343,414.7759582857143,18.689661017204415,110.20230417528828,2179.585006639647,2050.6930414471544,298.0,34.9222,2336.6101423170044,2.70222,330.8240230404025,209.48920515404285,,,,0.03157662311477823,415.0752914285714,2980.0,1.0,7.981088936521063,2.70222,GeoB1504-1,O,10.1016/j.epsl.2007.03.025,2.288,31.287,0-1,Yu2007,C. wuellerstorfi
83,349.8952617878504,64.76192506929247,414.6571868571429,18.775353446034085,108.4351672265981,2179.799879665283,2052.5893589926504,329.1,34.9122,2335.0063058984842,2.53781,330.2879883773056,211.1249970764974,,,,0.03157410019753072,414.9564342857143,3291.0,1.0,7.967128417181472,2.53781,GeoB1523-2,O,10.1016/j.epsl.2007.03.025,3.815,41.622,0-1,Yu2007,C. wuellerstorfi
84,349.8952617878504,64.76192506929247,414.6571868571429,18.775353446034085,108.4351672265981,2179.799879665283,2052.5893589926504,329.1,34.9122,2335.0063058984842,2.53781,330.2879883773056,224.51598191708337,,,,0.03157410019753072,414.9564342857143,3291.0,1.0,7.967128417181472,2.53781,GeoB1523-2,O,10.1016/j.epsl.2007.03.025,3.815,41.622,0-1,Yu2007,C. wuellerstorfi
85,349.24447485275795,65.25949686152784,414.50397171428574,18.68997587170364,107.65320096653386,2179.3198450293326,2052.9766681910946,358.4,34.8993,2334.3167444185087,2.41487,327.2520895122505,207.82097546642322,,,,0.031810684443756614,414.80310857142854,3584.0,1.0,7.9571996764065345,2.41487,GeoB4415-2,O,10.1016/j.epsl.2007.03.025,5.853,44.978,0-1,Yu2007,C. wuellerstorfi
86,350.92672135139856,63.5701240771729,414.4968454285714,19.327416591610547,103.63588834719071,2176.929946580305,2053.966641641504,370.9,34.8987,2325.5492928418084,2.33521,337.4033549623875,196.39944190971084,,,,0.03097226591281471,414.7959771428571,3709.0,1.0,7.938027641464317,2.33521,GeoB4406-2,O,10.1016/j.epsl.2007.03.025,5.09,43.762,0-1,Yu2007,C. wuellerstorfi
87,350.92672135139856,63.5701240771729,414.4968454285714,19.327416591610547,103.63588834719071,2176.929946580305,2053.966641641504,370.9,34.8987,2325.5492928418084,2.33521,337.4033549623875,206.55032164452808,,,,0.03097226591281471,414.7959771428571,3709.0,1.0,7.938027641464317,2.33521,GeoB4406-2,O,10.1016/j.epsl.2007.03.025,5.09,43.762,0-1,Yu2007,C. wuellerstorfi
88,347.3050561789971,67.1062738210029,414.41133,18.16263982447131,109.22104071607669,2179.6430494767565,2052.259368936209,390.3,34.8915,2338.5868992831383,2.24967,316.03980534443326,211.3676660049601,,,,0.03272232726019767,414.71040000000005,3903.0,1.0,7.956783943437422,2.24967,GeoB4416-2,O,10.1016/j.epsl.2007.03.025,5.675,45.088,0-1,Yu2007,C. wuellerstorfi
89,350.4053542108741,62.81707378912598,413.22242800000004,20.22230680837239,99.4547478914545,2220.507798400584,2100.830743700757,450.3,34.7914,2363.213916476468,1.44429,341.1228432848306,187.43938615993142,,,,0.029922642480545877,413.52064000000007,4503.0,1.0,7.902331142598509,1.44429,GeoB4403-1,O,10.1016/j.epsl.2007.03.025,6.134,43.441,0-1,Yu2007,C. wuellerstorfi
90,350.4053542108741,62.81707378912598,413.22242800000004,20.22230680837239,99.4547478914545,2220.507798400584,2100.830743700757,450.3,34.7914,2363.213916476468,1.44429,341.1228432848306,172.380890751147,,,,0.029922642480545877,413.52064000000007,4503.0,1.0,7.902331142598509,1.44429,GeoB4403-1,O,10.1016/j.epsl.2007.03.025,6.134,43.441,0-1,Yu2007,C. wuellerstorfi
91,351.7006789378712,63.25462420498597,414.9553031428572,19.096502570494156,108.39494742947885,2173.205115146517,2045.713665146544,276.3,34.9373,2326.5574563300092,2.83912,339.7833443707425,222.62444601405997,,,,0.030942880481812582,415.2547657142857,2763.0,1.0,7.9790428913476035,2.83912,GeoB4420-1,O,10.1016/j.epsl.2007.03.025,16.472,46.463,0-1,Yu2007,C. wuellerstorfi
92,351.7006789378712,63.25462420498597,414.9553031428572,19.096502570494156,108.39494742947885,2173.205115146517,2045.713665146544,276.3,34.9373,2326.5574563300092,2.83912,339.7833443707425,226.65427906594573,,,,0.030942880481812582,415.2547657142857,2763.0,1.0,7.9790428913476035,2.83912,GeoB4420-1,O,10.1016/j.epsl.2007.03.025,16.472,46.463,0-1,Yu2007,C. wuellerstorfi
93,351.7006789378712,63.25462420498597,414.9553031428572,19.096502570494156,108.39494742947885,2173.205115146517,2045.713665146544,276.3,34.9373,2326.5574563300092,2.83912,339.7833443707425,215.68217012977763,,,,0.030942880481812582,415.2547657142857,2763.0,1.0,7.9790428913476035,2.83912,GeoB4420-1,O,10.1016/j.epsl.2007.03.025,16.472,46.463,0-1,Yu2007,C. wuellerstorfi
94,352.17375392440243,62.58795178988329,414.7617057142857,19.60416021128246,105.32150872586156,2186.464903292952,2061.5392343558074,317.6,34.921,2335.531883126081,2.62288,345.98362576466894,230.9647870654181,,,,0.030381725878125827,415.06102857142855,3176.0,1.0,7.954534972223038,2.62288,GeoB4421-2,R,10.1016/j.epsl.2007.03.025,16.99,46.01,0-1,Yu2007,C. wuellerstorfi
95,352.17375392440243,62.58795178988329,414.7617057142857,19.60416021128246,105.32150872586156,2186.464903292952,2061.5392343558074,317.6,34.921,2335.531883126081,2.62288,345.98362576466894,228.9267179516248,,,,0.030381725878125827,415.06102857142855,3176.0,1.0,7.954534972223038,2.62288,GeoB4421-2,O,10.1016/j.epsl.2007.03.025,16.99,46.01,0-1,Yu2007,C. wuellerstorfi
96,352.17375392440243,62.58795178988329,414.7617057142857,19.60416021128246,105.32150872586156,2186.464903292952,2061.5392343558074,317.6,34.921,2335.531883126081,2.62288,345.98362576466894,224.09656938079817,,,,0.030381725878125827,415.06102857142855,3176.0,1.0,7.954534972223038,2.62288,GeoB4421-2,O,10.1016/j.epsl.2007.03.025,16.99,46.01,0-1,Yu2007,C. wuellerstorfi
97,350.48415588376884,63.54473011623117,414.02888599999994,19.948023899379177,99.2982693548378,2203.2434517416095,2083.997158487393,477.9,34.8593,2346.830137770036,2.10234,345.1226884380837,177.55617759357347,,,,0.030513759798029998,414.32768,4779.0,1.0,7.884651497343499,2.10234,GeoB4424-2,O,10.1016/j.epsl.2007.03.025,18.195,44.018,0-1,Yu2007,C. wuellerstorfi
98,350.48415588376884,63.54473011623117,414.02888599999994,19.948023899379177,99.2982693548378,2203.2434517416095,2083.997158487393,477.9,34.8593,2346.830137770036,2.10234,345.1226884380837,185.04682521858888,,,,0.030513759798029998,414.32768,4779.0,1.0,7.884651497343499,2.10234,GeoB4424-2,O,10.1016/j.epsl.2007.03.025,18.195,44.018,0-1,Yu2007,C. wuellerstorfi
99,346.5893341735574,67.95620754072833,414.5455417142857,17.510417199498136,111.82127828923025,2152.9661656627995,2023.6344701740713,344.8,34.9028,2316.036213171038,2.17577,303.8662928765499,200.60865378386293,,,,0.03360550079102081,414.84470857142855,3448.0,1.0,7.988218025960923,2.17577,HU91-045-093,O,10.1016/j.epsl.2007.03.025,50.204666,45.685833,32-34,Yu2007,C. wuellerstorfi
100,347.8541756883653,66.80894974020616,414.66312542857145,18.34707162209225,111.22214252356866,2198.004867109446,2068.435652963785,365.6,34.9127,2358.4891892026158,2.51787,322.5143052929988,218.21209283332942,,,,0.03232257379889979,414.9623771428572,3656.0,1.0,7.963988655775244,2.51787,OMEX 12B,O,10.1016/j.epsl.2007.03.025,48.9988,13.2087,0-1,Yu2007,C. wuellerstorfi
101,349.1610673508955,65.38447436339027,414.5455417142857,19.13203179407403,105.2266579822095,2203.2567580065866,2078.898068230303,433.5,34.9028,2355.490582846193,2.50499,336.13100203170444,184.72908589585967,,,,0.03147420340470718,414.84470857142855,4335.0,1.0,7.917237266057767,2.50499,OMEX 14B,O,10.1016/j.epsl.2007.03.025,48.588,13.3395,0-1,Yu2007,C. wuellerstorfi
104,358.38095436578016,54.226237634219984,412.6071920000001,24.222084264928647,86.5794443664552,2248.654569352671,2137.853040721287,415.6,34.7396,2365.783545711614,1.13603,403.69111157952057,170.00148159565524,,,,0.025383115809096298,412.9049600000001,4156.0,1.0,7.851104508908013,1.13603,WIND 1B,O,10.1016/j.epsl.2007.03.025,-35.121833333333335,-35.535333333333334,core-top,Yu2007,C. wuellerstorfi
105,360.6113127680584,51.7298312319416,412.341144,25.46011054890112,84.26985294859816,2256.209546633969,2146.47958313647,373.1,34.7172,2367.2764082687704,1.15576,424.587774711837,170.42361364191063,169.00078795676956,171.8464393270517,,0.024117240027613923,412.63872,3731.0,2.0,7.850625808403559,1.15576,WIND 3B,R,10.1016/j.epsl.2007.03.025,-32.64416666666666,-48.494,core-top,Yu2007,C. wuellerstorfi
106,360.1116923005535,52.33990912801797,412.4516014285715,25.134255365124716,85.7853351044291,2259.3382002199514,2148.4186097503975,368.4,34.7265,2372.8694631609546,1.25637,420.79139359886733,172.86345376573612,171.02243920220317,172.80909804575413,174.75882404925102,0.024379644291279694,412.7492571428572,3684.0,3.0,7.857583233160478,1.25637,WIND 5B,R,10.1016/j.epsl.2007.03.025,-31.569,-47.56916666666667,core-top,Yu2007,C. wuellerstorfi
107,360.1116923005535,52.33990912801797,412.4516014285715,25.134255365124716,85.7853351044291,2259.3382002199514,2148.4186097503975,368.4,34.7265,2372.8694631609546,1.25637,420.79139359886733,176.85891986430127,,,,0.024379644291279694,412.7492571428572,3684.0,1.0,7.857583233160478,1.25637,WIND 5B,O,10.1016/j.epsl.2007.03.025,-31.569,-47.56916666666667,core-top,Yu2007,C. wuellerstorfi
108,360.5177654807102,51.793685662147,412.31145114285715,25.658078766301546,82.6299282188758,2259.04836618901,2150.7603592038326,415.0,34.7147,2368.3273311796006,1.06382,426.3799933188614,144.74169555965761,147.20153542029146,142.2818556990238,,0.024098948825878184,412.60900571428573,4150.0,2.0,7.829897111120262,1.06382,WIND 6B,R,10.1016/j.epsl.2007.03.025,-31.273333333333333,-47.56433333333333,core-top,Yu2007,C. wuellerstorfi
109,360.5177654807102,51.793685662147,412.31145114285715,25.658078766301546,82.6299282188758,2259.04836618901,2150.7603592038326,415.0,34.7147,2368.3273311796006,1.06382,426.3799933188614,147.20356499573435,,,,0.024098948825878184,412.60900571428573,4150.0,1.0,7.829897111120262,1.06382,WIND 6B,O,10.1016/j.epsl.2007.03.025,-31.273333333333333,-47.56433333333333,core-top,Yu2007,C. wuellerstorfi
110,362.62874776547085,50.02951594881487,412.6582637142857,26.196475902490526,85.87744728360104,2265.8799075363127,2153.8059843502215,287.1,34.7439,2376.149134675069,1.86463,448.8729386286009,197.62789611130097,195.37302852923094,201.54693357454346,195.96372623012843,0.023245186115980317,412.95606857142855,2871.0,3.0,7.871161256337958,1.86463,WIND 10B,R,10.1016/j.epsl.2007.03.025,-29.124833333333335,-47.549,core-top,Yu2007,C. wuellerstorfi
111,362.1792252599044,50.058587597238514,412.2378128571429,26.7644800977558,79.46042020360471,2263.055148226522,2156.830247925161,419.6,34.7085,2366.298770850067,1.00049,443.67147991702683,151.65149054153008,,,,0.023226080791850998,412.5353142857143,4196.0,1.0,7.811420321231135,1.00049,WIND 12B,R,10.1016/j.epsl.2007.03.025,-25.8465,-47.92283333333334,core-top,Yu2007,C. wuellerstorfi
112,361.58315516672064,50.70454169042222,412.28769685714286,26.376466010475855,81.48785342333287,2269.033360989337,2161.1690415555277,406.5,34.7127,2375.3553164133314,1.14767,439.7215563758166,152.4364111835201,,,,0.023478558538733218,412.58523428571425,4065.0,1.0,7.822954059656085,1.14767,WIND 13B,R,10.1016/j.epsl.2007.03.025,-23.938666666666666,-48.9985,core-top,Yu2007,C. wuellerstorfi
113,361.53848997002217,50.86085202997785,412.39934200000005,26.363965034304066,83.53469963233047,2284.899074377014,2175.0004097103797,383.8,34.7221,2393.4553077353266,1.41037,443.96649590869606,171.87100883094308,,,,0.02340117122356999,412.69696,3838.0,1.0,7.8333212473640135,1.41037,WIND 22B,R,10.1016/j.epsl.2007.03.025,-13.614166666666666,-51.18966666666667,core-top,Yu2007,C. wuellerstorfi
114,361.9979440800018,50.35388934856959,412.3518334285714,26.67005770935883,81.8966202756399,2280.8949515417935,2172.3282735567946,393.5,34.7181,2386.9839909825578,1.23494,446.1157953712044,162.36387699965906,,,,0.0231964151408498,412.64941714285715,3935.0,1.0,7.825341515189273,1.23494,WIND 25B,O,10.1016/j.epsl.2007.03.025,-11.802333333333333,-50.57383333333333,core-top,Yu2007,C. wuellerstorfi
115,359.7157291080253,52.56127832054613,412.27700742857144,25.34035022822046,84.45315234340228,2270.3045116817834,2160.51100911016,414.7,34.7118,2382.502199340577,1.08295,421.40131677376723,152.9269657633224,,,,0.024345726645996532,412.57453714285714,4147.0,1.0,7.83720206074475,1.08295,WIND 28B,O,10.1016/j.epsl.2007.03.025,-10.1555,-51.77033333333333,core-top,Yu2007,C. wuellerstorfi
116,363.88992981913265,48.58780132372468,412.4777311428573,27.781785430378644,81.23956270828018,2295.9744749594684,2186.9531268208093,352.0,34.72870000000001,2398.531327887022,1.57981,470.8852045453075,184.3292193833009,183.5027778322298,185.7040959439636,183.7807843737093,0.02223315410566483,412.7754057142858,3520.0,3.0,7.825625711276832,1.57981,WIND 33B,R,10.1016/j.epsl.2007.03.025,-11.211833333333333,-58.77066666666666,core-top,Yu2007,C. wuellerstorfi
